State,Elec Distributor,Postcode,Suburb,RES Tariff,SME Tariff,Plan Type,Customer Type,Consumption Level,Retailer,Product Name,Product Description,Discount: Guaranteed Elec,Discount: Guaranteed Gas,Discount: Pay on Time Elec,Discount: Pay on Time Gas,Discount: Dual Fuel Elec,Discount: Dual Fuel Gas,AD:Rankings (Inc Discounts), Ranking 1,Ranking 2,Ranking 3,Date
VIC,Citipower,3141,SOUTH YARRA,C1R,,Elec,RES,Medium,Momentum,"Smile Power Flexi","Competitive rates up front with no confusing discounts and a simple open term contract, no exit fees.",,,,,,,3,0.52%,0.26%,0%,23/04/2020
VIC,Citipower,3141,SOUTH YARRA,C1R,,Elec,RES,Medium,Lumo Energy,"Lumo Movers","The Lumo Movers plan is a no contract term and you're entitled to receive 3% off your electricity usage & service to property charges, when you pay by the due date. Additionally, the Lumo Movers plan covers standard connection and disconnection costs when you move.",,,3,,,,4,2.03%,1.78%,1.52%,23/04/2020
VIC,Citipower,3141,SOUTH YARRA,C1R,,Elec,RES,Medium,Momentum,"Move Mate","With Move Mate, your standard electricity connection fees are waived, as are disconnection fees if your old place is powered by Momentum. ",,,,,,,5,3.02%,2.76%,2.51%,23/04/2020
VIC,Citipower,3141,SOUTH YARRA,C1R,,Elec,RES,Medium,Origin Energy,"Origin Max Saver (Citipower)","",11,,,,,,6,3.74%,3.49%,3.24%,23/04/2020
VIC,Citipower,3141,SOUTH YARRA,C1R,,Elec,RES,Medium,AGL,"AGL Essentials Saver","The AGL Essentials Saver plan is a low rate plan, this is an ongoing market contract with no contract term and no exit fees.",,,,,,,7,4.69%,4.44%,4.2%,23/04/2020
VIC,Citipower,3141,SOUTH YARRA,C1R,,Elec,RES,Medium,Powerdirect,"Powerdirect Rate Saver","Powerdirect Rate Saver plan is a fixed rate plan. Powerdirect will not vary the fixed rates that apply to your energy plan at any time during your 12 month Minimum Period",,,,,,,8,4.69%,4.44%,4.2%,23/04/2020
VIC,Citipower,3141,SOUTH YARRA,C1R,,Elec,RES,Medium,Powershop,"Power Saver","Powershop can offer you 7% discount on usage and supply charges when you purchase the Power Saver product.",,,7,,,,9,9.18%,8.94%,8.71%,23/04/2020
VIC,Citipower,3141,SOUTH YARRA,C1R,,Elec,RES,Medium,Origin Energy,"Origin Flexi","",5,,,,,,10,9.81%,9.58%,9.35%,23/04/2020
VIC,Citipower,3141,SOUTH YARRA,C1R,,Elec,RES,High,Lumo Energy,"Lumo Value","The Lumo Value plan is a no contract term and you're entitled to receive 3% off your electricity usage & service to property charges, when you pay by the due date.",,,3,,,,1,0%,-0.47%,-0.47%,23/04/2020
VIC,Citipower,3141,SOUTH YARRA,C1R,,Elec,RES,High,Momentum,"Smile Power Flexi","Competitive rates up front with no confusing discounts and a simple open term contract, no exit fees.",,,,,,,2,0.47%,0%,0%,23/04/2020
VIC,Citipower,3141,SOUTH YARRA,C1R,,Elec,RES,High,Alinta Energy,"HomeDeal","Under Alinta Energy's Home Deal plan you will pay Alinta Energy's applicable market tariffs and charges. The tariffs may be varied at any time. Alinta Energy will give you notice of any price variations in accordance with applicable laws.",,,,,,,3,0.47%,0%,0%,23/04/2020
VIC,Citipower,3141,SOUTH YARRA,C1R,,Elec,RES,High,Lumo Energy,"Lumo Movers","The Lumo Movers plan is a no contract term and you're entitled to receive 3% off your electricity usage & service to property charges, when you pay by the due date. Additionally, the Lumo Movers plan covers standard connection and disconnection costs when you move.",,,3,,,,4,2.06%,1.61%,1.61%,23/04/2020
VIC,Citipower,3141,SOUTH YARRA,C1R,,Elec,RES,High,Momentum,"Move Mate","With Move Mate, your standard electricity connection fees are waived, as are disconnection fees if your old place is powered by Momentum. ",,,,,,,5,3.17%,2.72%,2.72%,23/04/2020
VIC,Citipower,3141,SOUTH YARRA,C1R,,Elec,RES,High,Origin Energy,"Origin Max Saver (Citipower)","",11,,,,,,6,4.04%,3.6%,3.6%,23/04/2020
VIC,Citipower,3141,SOUTH YARRA,C1R,,Elec,RES,High,AGL,"AGL Essentials Saver","The AGL Essentials Saver plan is a low rate plan, this is an ongoing market contract with no contract term and no exit fees.",,,,,,,7,5.11%,4.67%,4.67%,23/04/2020
VIC,Citipower,3141,SOUTH YARRA,C1R,,Elec,RES,High,Powerdirect,"Powerdirect Rate Saver","Powerdirect Rate Saver plan is a fixed rate plan. Powerdirect will not vary the fixed rates that apply to your energy plan at any time during your 12 month Minimum Period",,,,,,,8,5.11%,4.67%,4.67%,23/04/2020
VIC,Citipower,3141,SOUTH YARRA,C1R,,Elec,RES,High,Powershop,"Power Saver","Powershop can offer you 7% discount on usage and supply charges when you purchase the Power Saver product.",,,7,,,,9,9.53%,9.11%,9.11%,23/04/2020
VIC,Citipower,3141,SOUTH YARRA,C1R,,Elec,RES,High,Origin Energy,"Origin Flexi","",5,,,,,,10,10.11%,9.68%,9.68%,23/04/2020
VIC,Citipower,3141,SOUTH YARRA,C1R,,Gas,RES,Low,Origin Energy,"Origin Max Saver","Origin Max Saver gives you 20% discount off Origin’s natural gas usage and supply charges. This is a 12 month benefit period. ",,20,,,,,1,0%,-3.97%,-7.94%,23/04/2020
VIC,Citipower,3141,SOUTH YARRA,C1R,,Gas,RES,Low,Lumo Energy,"Lumo Value","The Lumo Value plan is a no contract term and you're entitled to receive 3% off your gas usage & service to property charges, when you pay by the due date.",,,,3,,,2,3.82%,0%,-3.82%,23/04/2020
VIC,Citipower,3141,SOUTH YARRA,C1R,,Gas,RES,Low,Lumo Energy,"Lumo Movers","The Lumo Movers plan is a no contract term and you're entitled to receive 3% off your gas usage & service to property charges, when you pay by the due date. Additionally, the Lumo Movers plan covers standard connection and disconnection costs when you move.",,,,3,,,3,7.35%,3.68%,0%,23/04/2020
VIC,Citipower,3141,SOUTH YARRA,C1R,,Gas,RES,Low,Momentum,"Momentum Gas","Competitive rates up front with no confusing discounts and a simple open term contract, no exit fees.",,,,,,,4,8.7%,5.07%,1.45%,23/04/2020
VIC,Citipower,3141,SOUTH YARRA,C1R,,Gas,RES,Low,AGL,"AGL Essentials Saver","The AGL Essentials Saver plan is a low rate plan, this is an ongoing market contract with no contract term and no exit fees.",,,,,,,5,8.7%,5.07%,1.45%,23/04/2020
VIC,Citipower,3141,SOUTH YARRA,C1R,,Gas,RES,Low,Origin Energy,"Origin Flexi","Origin Flexi gives you 11% discount off Origin’s natural gas usage and supply charges. This is a 12 month benefit period.",,11,,,,,6,10.64%,7.09%,3.55%,23/04/2020
VIC,Citipower,3141,SOUTH YARRA,C1R,,Gas,RES,Medium,Origin Energy,"Origin Max Saver","Origin Max Saver gives you 20% discount off Origin’s natural gas usage and supply charges. This is a 12 month benefit period. ",,20,,,,,1,0%,-2.5%,-5%,23/04/2020
VIC,Citipower,3141,SOUTH YARRA,C1R,,Gas,RES,Medium,Lumo Energy,"Lumo Value","The Lumo Value plan is a no contract term and you're entitled to receive 3% off your gas usage & service to property charges, when you pay by the due date.",,,,3,,,2,2.44%,0%,-2.44%,23/04/2020
VIC,Citipower,3141,SOUTH YARRA,C1R,,Gas,RES,Medium,AGL,"AGL Essentials Saver","The AGL Essentials Saver plan is a low rate plan, this is an ongoing market contract with no contract term and no exit fees.",,,,,,,3,4.76%,2.38%,0%,23/04/2020
VIC,Citipower,3141,SOUTH YARRA,C1R,,Gas,RES,Medium,Momentum,"Momentum Gas","Competitive rates up front with no confusing discounts and a simple open term contract, no exit fees.",,,,,,,4,5.33%,2.96%,0.59%,23/04/2020
VIC,Citipower,3141,SOUTH YARRA,C1R,,Gas,RES,Medium,Lumo Energy,"Lumo Movers","The Lumo Movers plan is a no contract term and you're entitled to receive 3% off your gas usage & service to property charges, when you pay by the due date. Additionally, the Lumo Movers plan covers standard connection and disconnection costs when you move.",,,,3,,,5,5.88%,3.53%,1.18%,23/04/2020
VIC,Citipower,3141,SOUTH YARRA,C1R,,Gas,RES,Medium,Origin Energy,"Origin Flexi","Origin Flexi gives you 11% discount off Origin’s natural gas usage and supply charges. This is a 12 month benefit period.",,11,,,,,6,10.11%,7.87%,5.62%,23/04/2020
VIC,Citipower,3141,SOUTH YARRA,C1R,,Gas,RES,High,Origin Energy,"Origin Max Saver","Origin Max Saver gives you 20% discount off Origin’s natural gas usage and supply charges. This is a 12 month benefit period. ",,20,,,,,1,0%,-1.56%,-3.65%,23/04/2020
VIC,Citipower,3141,SOUTH YARRA,C1R,,Gas,RES,High,AGL,"AGL Essentials Saver","The AGL Essentials Saver plan is a low rate plan, this is an ongoing market contract with no contract term and no exit fees.",,,,,,,2,1.54%,0%,-2.05%,23/04/2020
VIC,Citipower,3141,SOUTH YARRA,C1R,,Gas,RES,High,Lumo Energy,"Lumo Value","The Lumo Value plan is a no contract term and you're entitled to receive 3% off your gas usage & service to property charges, when you pay by the due date.",,,,3,,,3,3.52%,2.01%,0%,23/04/2020
VIC,Citipower,3141,SOUTH YARRA,C1R,,Gas,RES,High,Momentum,"Momentum Gas","Competitive rates up front with no confusing discounts and a simple open term contract, no exit fees.",,,,,,,4,4%,2.5%,0.5%,23/04/2020
VIC,Citipower,3141,SOUTH YARRA,C1R,,Gas,RES,High,Lumo Energy,"Lumo Movers","The Lumo Movers plan is a no contract term and you're entitled to receive 3% off your gas usage & service to property charges, when you pay by the due date. Additionally, the Lumo Movers plan covers standard connection and disconnection costs when you move.",,,,3,,,5,6.34%,4.88%,2.93%,23/04/2020
VIC,Citipower,3141,SOUTH YARRA,C1R,,Gas,RES,High,Origin Energy,"Origin Flexi","Origin Flexi gives you 11% discount off Origin’s natural gas usage and supply charges. This is a 12 month benefit period.",,11,,,,,6,10.28%,8.88%,7.01%,23/04/2020
VIC,Citipower,3141,SOUTH YARRA,C1R,,Dual,RES,Low,Lumo Energy,"Lumo Value","The Lumo Value plan is a no contract term and you're entitled to receive 3% off your electricity usage & service to property charges and 3% off your gas usage & service to property charges, when you pay by the due date.",,,3,3,,,1,0%,-1.41%,-1.65%,23/04/2020
VIC,Citipower,3141,SOUTH YARRA,C1R,,Dual,RES,Low,Origin Energy,"Origin Max Saver (Citipower)","Origin Max Saver gives you 20% discount off Origin’s natural gas usage and supply charges. This is a 12 month benefit period. ",11,20,,,,,2,1.39%,0%,-0.23%,23/04/2020
VIC,Citipower,3141,SOUTH YARRA,C1R,,Dual,RES,Low,Alinta Energy,"HomeDeal","Under Alinta Energy's Home Deal plan you will pay Alinta Energy's applicable market tariffs and charges. The tariffs may be varied at any time. Alinta Energy will give you notice of any price variations in accordance with applicable laws.",,,,,,,3,1.62%,0.23%,0%,23/04/2020
VIC,Citipower,3141,SOUTH YARRA,C1R,,Dual,RES,Low,Momentum,"Smile Power Flexi","Competitive rates up front with no confusing discounts and a simple open term contract, no exit fees.",,,,,,,4,2.75%,1.37%,1.14%,23/04/2020
VIC,Citipower,3141,SOUTH YARRA,C1R,,Dual,RES,Low,Lumo Energy,"Lumo Movers","The Lumo Movers plan is a no contract term and you're entitled to receive 3% off your electricity usage & service to property charges and 3% off your gas usage & service to property charges, when you pay by the due date. Additionally, the Lumo Movers plan covers standard connection and disconnection costs when you move.",,,3,3,,,5,3.19%,1.82%,1.59%,23/04/2020
VIC,Citipower,3141,SOUTH YARRA,C1R,,Dual,RES,Low,Momentum,"Move Mate","With Move Mate, your standard electricity connection fees are waived, as are disconnection fees if your old place is powered by Momentum. ",,,,,,,6,4.28%,2.93%,2.7%,23/04/2020
VIC,Citipower,3141,SOUTH YARRA,C1R,,Dual,RES,Low,AGL,"AGL Essentials Saver","The AGL Essentials Saver plan is a low rate plan, this is an ongoing market contract with no contract term and no exit fees.",,,,,,,7,4.71%,3.36%,3.14%,23/04/2020
VIC,Citipower,3141,SOUTH YARRA,C1R,,Dual,RES,Low,Powershop,"Power Saver","Powershop can offer you 7% discount on usage and supply charges for electricity and 5% discount on usage and supply charges for gas when you purchase the Power Saver and Gas Saver products.",,,7,5,,,8,5.13%,3.79%,3.57%,23/04/2020
VIC,Citipower,3141,SOUTH YARRA,C1R,,Dual,RES,Low,Origin Energy,"Origin Flexi","Origin Flexi gives you 11% discount off Origin’s natural gas usage and supply charges. This is a 12 month benefit period. ",5,11,,,,,9,8.8%,7.51%,7.3%,23/04/2020
VIC,Citipower,3141,SOUTH YARRA,C1R,,Dual,RES,Medium,Lumo Energy,"Lumo Value","The Lumo Value plan is a no contract term and you're entitled to receive 3% off your electricity usage & service to property charges and 3% off your gas usage & service to property charges, when you pay by the due date.",,,3,3,,,1,0%,-1.27%,-1.27%,23/04/2020
VIC,Citipower,3141,SOUTH YARRA,C1R,,Dual,RES,Medium,Momentum,"Smile Power Flexi","Competitive rates up front with no confusing discounts and a simple open term contract, no exit fees.",,,,,,,2,1.26%,0%,0%,23/04/2020
VIC,Citipower,3141,SOUTH YARRA,C1R,,Dual,RES,Medium,Alinta Energy,"HomeDeal","Under Alinta Energy's Home Deal plan you will pay Alinta Energy's applicable market tariffs and charges. The tariffs may be varied at any time. Alinta Energy will give you notice of any price variations in accordance with applicable laws.",,,,,,,3,1.26%,0%,0%,23/04/2020
VIC,Citipower,3141,SOUTH YARRA,C1R,,Dual,RES,Medium,Origin Energy,"Origin Max Saver (Citipower)","Origin Max Saver gives you 20% discount off Origin’s natural gas usage and supply charges. This is a 12 month benefit period. ",11,20,,,,,4,1.96%,0.71%,0.71%,23/04/2020
VIC,Citipower,3141,SOUTH YARRA,C1R,,Dual,RES,Medium,Lumo Energy,"Lumo Movers","The Lumo Movers plan is a no contract term and you're entitled to receive 3% off your electricity usage & service to property charges and 3% off your gas usage & service to property charges, when you pay by the due date. Additionally, the Lumo Movers plan covers standard connection and disconnection costs when you move.",,,3,3,,,5,2.48%,1.24%,1.24%,23/04/2020
VIC,Citipower,3141,SOUTH YARRA,C1R,,Dual,RES,Medium,Momentum,"Move Mate","With Move Mate, your standard electricity connection fees are waived, as are disconnection fees if your old place is powered by Momentum. ",,,,,,,6,3%,1.76%,1.76%,23/04/2020
VIC,Citipower,3141,SOUTH YARRA,C1R,,Dual,RES,Medium,AGL,"AGL Essentials Saver","The AGL Essentials Saver plan is a low rate plan, this is an ongoing market contract with no contract term and no exit fees.",,,,,,,7,4.01%,2.79%,2.79%,23/04/2020
VIC,Citipower,3141,SOUTH YARRA,C1R,,Dual,RES,Medium,Powershop,"Power Saver","Powershop can offer you 7% discount on usage and supply charges for electricity and 5% discount on usage and supply charges for gas when you purchase the Power Saver and Gas Saver products.",,,7,5,,,8,5.34%,4.13%,4.13%,23/04/2020
VIC,Citipower,3141,SOUTH YARRA,C1R,,Dual,RES,Medium,Origin Energy,"Origin Flexi","Origin Flexi gives you 11% discount off Origin’s natural gas usage and supply charges. This is a 12 month benefit period. ",5,11,,,,,9,9.24%,8.09%,8.09%,23/04/2020
VIC,Citipower,3141,SOUTH YARRA,C1R,,Dual,RES,High,Lumo Energy,"Lumo Value","The Lumo Value plan is a no contract term and you're entitled to receive 3% off your electricity usage & service to property charges and 3% off your gas usage & service to property charges, when you pay by the due date.",,,3,3,,,1,0%,-0.48%,-0.64%,23/04/2020
VIC,Citipower,3141,SOUTH YARRA,C1R,,Dual,RES,High,Momentum,"Smile Power Flexi","Competitive rates up front with no confusing discounts and a simple open term contract, no exit fees.",,,,,,,2,0.48%,0%,-0.16%,23/04/2020
VIC,Citipower,3141,SOUTH YARRA,C1R,,Dual,RES,High,Alinta Energy,"HomeDeal","Under Alinta Energy's Home Deal plan you will pay Alinta Energy's applicable market tariffs and charges. The tariffs may be varied at any time. Alinta Energy will give you notice of any price variations in accordance with applicable laws.",,,,,,,3,0.63%,0.16%,0%,23/04/2020
VIC,Citipower,3141,SOUTH YARRA,C1R,,Dual,RES,High,Origin Energy,"Origin Max Saver (Citipower)","Origin Max Saver gives you 20% discount off Origin’s natural gas usage and supply charges. This is a 12 month benefit period. ",11,20,,,,,4,1.73%,1.26%,1.1%,23/04/2020
VIC,Citipower,3141,SOUTH YARRA,C1R,,Dual,RES,High,Lumo Energy,"Lumo Movers","The Lumo Movers plan is a no contract term and you're entitled to receive 3% off your electricity usage & service to property charges and 3% off your gas usage & service to property charges, when you pay by the due date. Additionally, the Lumo Movers plan covers standard connection and disconnection costs when you move.",,,3,3,,,5,2.34%,1.87%,1.72%,23/04/2020
VIC,Citipower,3141,SOUTH YARRA,C1R,,Dual,RES,High,Momentum,"Move Mate","With Move Mate, your standard electricity connection fees are waived, as are disconnection fees if your old place is powered by Momentum. ",,,,,,,6,2.34%,1.87%,1.72%,23/04/2020
VIC,Citipower,3141,SOUTH YARRA,C1R,,Dual,RES,High,AGL,"AGL Essentials Saver","The AGL Essentials Saver plan is a low rate plan, this is an ongoing market contract with no contract term and no exit fees.",,,,,,,7,2.95%,2.48%,2.33%,23/04/2020
VIC,Citipower,3141,SOUTH YARRA,C1R,,Dual,RES,High,Powershop,"Power Saver","Powershop can offer you 7% discount on usage and supply charges for electricity and 5% discount on usage and supply charges for gas when you purchase the Power Saver and Gas Saver products.",,,7,5,,,8,5.58%,5.13%,4.98%,23/04/2020
VIC,Citipower,3141,SOUTH YARRA,C1R,,Dual,RES,High,Origin Energy,"Origin Flexi","Origin Flexi gives you 11% discount off Origin’s natural gas usage and supply charges. This is a 12 month benefit period. ",5,11,,,,,9,9.14%,8.71%,8.56%,23/04/2020
VIC,Jemena,3073,RESERVOIR,A100,,Elec,RES,Low,Lumo Energy,"Lumo Value","The Lumo Value plan is a no contract term and you're entitled to receive 3% off your electricity usage & service to property charges, when you pay by the due date.",,,3,,,,1,0%,-1.63%,-1.63%,23/04/2020
VIC,Jemena,3073,RESERVOIR,A100,,Elec,RES,Low,Momentum,"Smile Power Flexi","Competitive rates up front with no confusing discounts and a simple open term contract, no exit fees.",,,,,,,2,1.6%,0%,0%,23/04/2020
VIC,Jemena,3073,RESERVOIR,A100,,Elec,RES,Low,Alinta Energy,"HomeDeal","Under Alinta Energy's Home Deal plan you will pay Alinta Energy's applicable market tariffs and charges. The tariffs may be varied at any time. Alinta Energy will give you notice of any price variations in accordance with applicable laws.",,,,,,,3,1.6%,0%,0%,23/04/2020
VIC,Jemena,3073,RESERVOIR,A100,,Elec,RES,Low,Lumo Energy,"Lumo Movers","The Lumo Movers plan is a no contract term and you're entitled to receive 3% off your electricity usage & service to property charges, when you pay by the due date. Additionally, the Lumo Movers plan covers standard connection and disconnection costs when you move.",,,3,,,,4,2.85%,1.27%,1.27%,23/04/2020
VIC,Jemena,3073,RESERVOIR,A100,,Elec,RES,Low,Momentum,"Move Mate","With Move Mate, your standard electricity connection fees are waived, as are disconnection fees if your old place is powered by Momentum. ",,,,,,,5,4.06%,2.5%,2.5%,23/04/2020
VIC,Jemena,3073,RESERVOIR,A100,,Elec,RES,Low,Origin Energy,"Origin Max Saver (Jemena)","",11,,,,,,6,4.06%,2.5%,2.5%,23/04/2020
VIC,Jemena,3073,RESERVOIR,A100,,Elec,RES,Low,AGL,"AGL Essentials Saver","The AGL Essentials Saver plan is a low rate plan, this is an ongoing market contract with no contract term and no exit fees.",,,,,,,7,5.25%,3.7%,3.7%,23/04/2020
VIC,Jemena,3073,RESERVOIR,A100,,Elec,RES,Low,Powerdirect,"Powerdirect Rate Saver","Powerdirect Rate Saver plan is a fixed rate plan. Powerdirect will not vary the fixed rates that apply to your energy plan at any time during your 12 month Minimum Period",,,,,,,8,5.25%,3.7%,3.7%,23/04/2020
VIC,Jemena,3073,RESERVOIR,A100,,Elec,RES,Low,Origin Energy,"Origin Flexi","",5,,,,,,9,10.23%,8.77%,8.77%,23/04/2020
VIC,Jemena,3073,RESERVOIR,A100,,Elec,RES,Low,Powershop,"Power Saver","Powershop can offer you 7% discount on usage and supply charges when you purchase the Power Saver product.",,,7,,,,10,10.23%,8.77%,8.77%,23/04/2020
VIC,Jemena,3073,RESERVOIR,A100,,Elec,RES,Medium,Lumo Energy,"Lumo Value","The Lumo Value plan is a no contract term and you're entitled to receive 3% off your electricity usage & service to property charges, when you pay by the due date.",,,3,,,,1,0%,-1.23%,-1.72%,23/04/2020
VIC,Jemena,3073,RESERVOIR,A100,,Elec,RES,Medium,Momentum,"Smile Power Flexi","Competitive rates up front with no confusing discounts and a simple open term contract, no exit fees.",,,,,,,2,1.22%,0%,-0.49%,23/04/2020
VIC,Jemena,3073,RESERVOIR,A100,,Elec,RES,Medium,Alinta Energy,"HomeDeal","Under Alinta Energy's Home Deal plan you will pay Alinta Energy's applicable market tariffs and charges. The tariffs may be varied at any time. Alinta Energy will give you notice of any price variations in accordance with applicable laws.",,,,,,,3,1.69%,0.48%,0%,23/04/2020
VIC,Jemena,3073,RESERVOIR,A100,,Elec,RES,Medium,Lumo Energy,"Lumo Movers","The Lumo Movers plan is a no contract term and you're entitled to receive 3% off your electricity usage & service to property charges, when you pay by the due date. Additionally, the Lumo Movers plan covers standard connection and disconnection costs when you move.",,,3,,,,4,2.17%,0.96%,0.48%,23/04/2020
VIC,Jemena,3073,RESERVOIR,A100,,Elec,RES,Medium,Momentum,"Move Mate","With Move Mate, your standard electricity connection fees are waived, as are disconnection fees if your old place is powered by Momentum. ",,,,,,,5,4.02%,2.84%,2.36%,23/04/2020
VIC,Jemena,3073,RESERVOIR,A100,,Elec,RES,Medium,Origin Energy,"Origin Max Saver (Jemena)","",11,,,,,,6,4.92%,3.75%,3.28%,23/04/2020
VIC,Jemena,3073,RESERVOIR,A100,,Elec,RES,Medium,AGL,"AGL Essentials Saver","The AGL Essentials Saver plan is a low rate plan, this is an ongoing market contract with no contract term and no exit fees.",,,,,,,7,6.02%,4.86%,4.4%,23/04/2020
VIC,Jemena,3073,RESERVOIR,A100,,Elec,RES,Medium,Powerdirect,"Powerdirect Rate Saver","Powerdirect Rate Saver plan is a fixed rate plan. Powerdirect will not vary the fixed rates that apply to your energy plan at any time during your 12 month Minimum Period",,,,,,,8,6.02%,4.86%,4.4%,23/04/2020
VIC,Jemena,3073,RESERVOIR,A100,,Elec,RES,Medium,Powershop,"Power Saver","Powershop can offer you 7% discount on usage and supply charges when you purchase the Power Saver product.",,,7,,,,9,10.57%,9.47%,9.03%,23/04/2020
VIC,Jemena,3073,RESERVOIR,A100,,Elec,RES,Medium,Origin Energy,"Origin Flexi","",5,,,,,,10,10.96%,9.87%,9.43%,23/04/2020
VIC,Jemena,3073,RESERVOIR,A100,,Elec,RES,High,Lumo Energy,"Lumo Value","The Lumo Value plan is a no contract term and you're entitled to receive 3% off your electricity usage & service to property charges, when you pay by the due date.",,,3,,,,1,0%,-1.33%,-1.77%,23/04/2020
VIC,Jemena,3073,RESERVOIR,A100,,Elec,RES,High,Momentum,"Smile Power Flexi","Competitive rates up front with no confusing discounts and a simple open term contract, no exit fees.",,,,,,,2,1.31%,0%,-0.44%,23/04/2020
VIC,Jemena,3073,RESERVOIR,A100,,Elec,RES,High,Alinta Energy,"HomeDeal","Under Alinta Energy's Home Deal plan you will pay Alinta Energy's applicable market tariffs and charges. The tariffs may be varied at any time. Alinta Energy will give you notice of any price variations in accordance with applicable laws.",,,,,,,3,1.74%,0.44%,0%,23/04/2020
VIC,Jemena,3073,RESERVOIR,A100,,Elec,RES,High,Lumo Energy,"Lumo Movers","The Lumo Movers plan is a no contract term and you're entitled to receive 3% off your electricity usage & service to property charges, when you pay by the due date. Additionally, the Lumo Movers plan covers standard connection and disconnection costs when you move.",,,3,,,,4,1.96%,0.65%,0.22%,23/04/2020
VIC,Jemena,3073,RESERVOIR,A100,,Elec,RES,High,Momentum,"Move Mate","With Move Mate, your standard electricity connection fees are waived, as are disconnection fees if your old place is powered by Momentum. ",,,,,,,5,3.84%,2.56%,2.13%,23/04/2020
VIC,Jemena,3073,RESERVOIR,A100,,Elec,RES,High,Origin Energy,"Origin Max Saver (Jemena)","",11,,,,,,6,5.05%,3.79%,3.37%,23/04/2020
VIC,Jemena,3073,RESERVOIR,A100,,Elec,RES,High,AGL,"AGL Essentials Saver","The AGL Essentials Saver plan is a low rate plan, this is an ongoing market contract with no contract term and no exit fees.",,,,,,,7,6.24%,4.99%,4.57%,23/04/2020
VIC,Jemena,3073,RESERVOIR,A100,,Elec,RES,High,Powerdirect,"Powerdirect Rate Saver","Powerdirect Rate Saver plan is a fixed rate plan. Powerdirect will not vary the fixed rates that apply to your energy plan at any time during your 12 month Minimum Period",,,,,,,8,6.24%,4.99%,4.57%,23/04/2020
